Year,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total
2020, 7 , 38 , 98 , 255 , 478 ," 2,280 ", 158 ," 3,314 "
2019, 13 , 49 , 272 , 338 , 857 ," 5,174 ", 283 ," 6,986 "
2018, 16 , 46 , 231 , 391 , 865 ," 4,657 ", 196 ," 6,402 "
2017, 21 , 54 , 345 , 428 ," 1,230 "," 5,460 ", 278 ," 7,816 "
2016, 21 , 65 , 399 , 499 ," 1,337 "," 5,294 ", 255 ," 7,870 "
2015, 20 , 57 , 515 , 547 ," 1,444 "," 6,090 ", 226 ," 8,899 "
2014, 18 , 55 , 489 , 502 ," 1,650 "," 6,280 ", 206 ," 9,200 "
2013, 8 , 38 , 521 , 657 ," 1,731 "," 6,190 ", 230 ," 9,375 "
2012, 29 , 74 , 471 , 669 ," 1,814 "," 6,339 ", 292 ," 9,688 "
2011, 22 , 57 , 603 , 712 ," 2,144 "," 6,931 ", 332 ," 10,801 "
2010, 22 , 54 , 716 , 767 ," 2,099 "," 7,637 ", 334 ," 11,629 "
